from_dbid,relation,to_dbid
DB01050,INTERACT,DB09089
DB01050,INTERACT,DB09205
DB01050,INTERACT,DB09244
DB01050,INTERACT,DB09245
DB01050,INTERACT,DB11278
DB01050,INTERACT,DB11587
DB01050,INTERACT,DB11943
DB01050,INTERACT,DB12278
DB01050,INTERACT,DB13139
DB01050,INTERACT,DB06767
DB01050,INTERACT,DB01137
DB01050,INTERACT,DB00477
DB01050,INTERACT,DB00490
DB01050,INTERACT,DB00669
DB01050,INTERACT,DB01224
DB01050,INTERACT,DB01267
DB01050,INTERACT,DB08893
DB01050,INTERACT,DB00813
DB01050,INTERACT,DB09015
DB01050,INTERACT,DB09125
DB01050,INTERACT,DB12221
DB01050,INTERACT,DB00311
DB01050,INTERACT,DB00703
DB01050,INTERACT,DB01144
DB01050,INTERACT,DB01412
DB01050,INTERACT,DB05034
DB01050,INTERACT,DB09401
DB01050,INTERACT,DB12670
DB01050,INTERACT,DB12704
DB01050,INTERACT,DB13284
DB01050,INTERACT,DB13405
DB01050,INTERACT,DB13430
DB01050,INTERACT,DB13617
DB01050,INTERACT,DB13663
DB01050,INTERACT,DB13708
DB01050,INTERACT,DB13792
DB01050,INTERACT,DB14018
DB01050,INTERACT,DB14500
DB01050,INTERACT,DB09338
DB01050,INTERACT,DB06370
DB01050,INTERACT,DB00819
DB01050,INTERACT,DB06292
DB01050,INTERACT,DB00909
DB01050,INTERACT,DB08907
DB01050,INTERACT,DB06212
DB01050,INTERACT,DB01345
DB01050,INTERACT,DB09046
DB01050,INTERACT,DB06715
DB01050,INTERACT,DB09087
DB01050,INTERACT,DB09413
DB01050,INTERACT,DB09414
DB01050,INTERACT,DB09483
DB01050,INTERACT,DB11107
DB01050,INTERACT,DB11153
DB01050,INTERACT,DB13620
DB01050,INTERACT,DB13735
DB01050,INTERACT,DB13977
DB01050,INTERACT,DB14492
DB01050,INTERACT,DB00761
DB01050,INTERACT,DB09418
DB01050,INTERACT,DB11090
DB01050,INTERACT,DB11098
DB01050,INTERACT,DB14498
DB01050,INTERACT,DB14499
DB01050,INTERACT,DB00365
DB01050,INTERACT,DB00009
DB01050,INTERACT,DB00013
DB01050,INTERACT,DB00015
DB01050,INTERACT,DB00029
DB01050,INTERACT,DB00031
DB01050,INTERACT,DB00086
DB01050,INTERACT,DB04876
DB01050,INTERACT,DB06011
DB01050,INTERACT,DB06127
DB01050,INTERACT,DB06245
DB01050,INTERACT,DB06679
DB01050,INTERACT,DB08382
DB01050,INTERACT,DB11723
DB01050,INTERACT,DB11950
DB01050,INTERACT,DB11992
DB01050,INTERACT,DB12268
DB01050,INTERACT,DB12412
DB01050,INTERACT,DB12417
DB01050,INTERACT,DB12625
DB01050,INTERACT,DB13646
DB01050,INTERACT,DB00230
DB01050,INTERACT,DB06196
DB01050,INTERACT,DB06203
DB01050,INTERACT,DB09292
DB01050,INTERACT,DB00877
DB01050,INTERACT,DB06287
DB01050,INTERACT,DB11827
DB01050,INTERACT,DB00615
DB01050,INTERACT,DB01181
DB01050,INTERACT,DB01201
DB01050,INTERACT,DB06605
DB01050,INTERACT,DB00022
DB01050,INTERACT,DB11995
DB01050,INTERACT,DB00983
DB01050,INTERACT,DB00420
DB01050,INTERACT,DB01028
DB01050,INTERACT,DB01159
DB01050,INTERACT,DB00216
DB01050,INTERACT,DB00252
DB01050,INTERACT,DB00005
DB01050,INTERACT,DB00026
DB01050,INTERACT,DB00051
DB01050,INTERACT,DB00065
DB01050,INTERACT,DB01281
DB01050,INTERACT,DB04956
DB01050,INTERACT,DB05676
DB01050,INTERACT,DB06168
DB01050,INTERACT,DB06273
DB01050,INTERACT,DB06372
DB01050,INTERACT,DB06674
DB01050,INTERACT,DB08904
DB01050,INTERACT,DB09029
DB01050,INTERACT,DB09036
DB01050,INTERACT,DB14724
DB01050,INTERACT,DB11823
DB01050,INTERACT,DB00781
DB01050,INTERACT,DB14754
DB01050,INTERACT,DB09288
DB01050,INTERACT,DB13946
DB01050,INTERACT,DB00390
DB01050,INTERACT,DB13401
DB01050,INTERACT,DB13691
DB01050,INTERACT,DB00898
DB01050,INTERACT,DB00495
DB01050,INTERACT,DB00054
DB01050,INTERACT,DB00063
DB01050,INTERACT,DB00208
DB01050,INTERACT,DB00261
DB01050,INTERACT,DB00775
DB01050,INTERACT,DB00806
DB01050,INTERACT,DB00975
DB01050,INTERACT,DB01088
DB01050,INTERACT,DB01138
DB01050,INTERACT,DB01166
DB01050,INTERACT,DB01207
DB01050,INTERACT,DB01236
DB01050,INTERACT,DB01240
DB01050,INTERACT,DB02709
DB01050,INTERACT,DB04905
DB01050,INTERACT,DB04932
DB01050,INTERACT,DB05229
DB01050,INTERACT,DB05266
DB01050,INTERACT,DB05767
DB01050,INTERACT,DB06081
DB01050,INTERACT,DB06209
DB01050,INTERACT,DB06441
DB01050,INTERACT,DB07615
DB01050,INTERACT,DB08814
DB01050,INTERACT,DB08816
DB01050,INTERACT,DB08887
DB01050,INTERACT,DB09030
DB01050,INTERACT,DB09283
DB01050,INTERACT,DB12092
DB01050,INTERACT,DB12163
DB01050,INTERACT,DB12321
DB01050,INTERACT,DB12465
DB01050,INTERACT,DB12749
DB01050,INTERACT,DB12771
DB01050,INTERACT,DB13036
DB01050,INTERACT,DB13327
DB01050,INTERACT,DB13367
DB01050,INTERACT,DB13400
DB01050,INTERACT,DB13510
DB01050,INTERACT,DB13929
DB01050,INTERACT,DB00758
DB01050,INTERACT,DB15786
DB01050,INTERACT,DB01104
DB01050,INTERACT,DB00994
DB01050,INTERACT,DB00503
DB01050,INTERACT,DB00502
DB01050,INTERACT,DB15685
DB01050,INTERACT,DB00465
DB01050,INTERACT,DB11932
DB01050,INTERACT,DB04836
DB01050,INTERACT,DB09016
DB01050,INTERACT,DB09307
DB01050,INTERACT,DB12930
DB01050,INTERACT,DB13114
DB01050,INTERACT,DB13225
DB01050,INTERACT,DB13246
DB01050,INTERACT,DB13384
DB01050,INTERACT,DB13411
DB01050,INTERACT,DB13496
DB01050,INTERACT,DB13782
DB01050,INTERACT,DB09289
DB01050,INTERACT,DB00321
DB01050,INTERACT,DB00726
DB01050,INTERACT,DB01142
DB01050,INTERACT,DB00344
DB01050,INTERACT,DB00458
DB01050,INTERACT,DB00540
DB01050,INTERACT,DB00543
DB01050,INTERACT,DB01151
DB01050,INTERACT,DB01242
DB01050,INTERACT,DB08996
DB01050,INTERACT,DB09167
DB01050,INTERACT,DB12235
DB01050,INTERACT,DB00564
DB01050,INTERACT,DB00312
DB01050,INTERACT,DB00794
DB01050,INTERACT,DB08899
